"neighbourhood","avg_price"
"Todt Hill",518
"Longwood",494.96
"Greenwich Village",377.888888888889
"Tribeca",375.470588235294
"NoHo",374
"Flatiron District",365.7
"SoHo",362.887755102041
"Neponsit",351
"West Village",339.5859375
"Columbia St",337.75
"Financial District",326.313333333333
"Civic Center",319.8
"Midtown",300.437751004016
"DUMBO",294.285714285714
"Holliswood",289.5
"Greenpoint",288.811059907834
"Theater District",286.834710743802
"Carroll Gardens",285.327868852459
"Vinegar Hill",282.625
"Boerum Hill",281.586956521739
"Cobble Hill",268.8
"Prospect Heights",261.426470588235
"Downtown Brooklyn",258.04
"Brooklyn Heights",256.838709677419
"Sea Gate",256.076923076923
"Murray Hill",253.088397790055
"Lighthouse Hill",250
"Fieldston",248.8
"Upper West Side",247.217803030303
"Gowanus",245.323529411765
"Park Slope",242.18320610687
"Grymes Hill",242
"Nolita",239.225806451613
"Chelsea",234.165584415584
"East Village",227.808306709265
"Clinton Hill",227.747747747748
"Roosevelt Island",221.347826086957
"Arverne",220.333333333333
"Battery Park City",220.25
"Lower East Side",217.216666666667
"Hell's Kitchen",216.964285714286
"Bergen Beach",215.583333333333
"Kew Gardens Hills",213.571428571429
"Rosedale",212.034482758621
"Little Italy",210.490566037736
"Kips Bay",210.481927710843
"Willowbrook",210
"Emerson Hill",205.5
"Belle Harbor",203.333333333333
"Upper East Side",201.755485893417
"Red Hook",198.454545454545
"Bayside",197.8
"Stuyvesant Town",196.3125
"Chinatown",195.245762711864
"Gramercy",194.669491525424
"Williamsburg",193.351791530945
"Kensington",191.741935483871
"South Slope",190.622950819672
"Spuyten Duyvil",188
"Jamaica Hills",187.555555555556
"Middle Village",185.571428571429
"Fort Greene",179.747899159664
"Windsor Terrace",179.063829787234
"Riverdale",178
"Dongan Hills",168
"Crown Heights",167.88679245283
"Far Rockaway",167.264705882353
"Gerritsen Beach",167
"Harlem",166.533248081841
"Van Nest",165.222222222222
"Prince's Bay",163.8
"Long Island City",159.781914893617
"Queens Village",155.909090909091
"Mill Basin",155.8
"Edgemere",155.416666666667
"South Ozone Park",154.083333333333
"Unionport",153.8
"Castleton Corners",152.666666666667
"Springfield Gardens",152.316455696203
"Prospect-Lefferts Gardens",152.12030075188
"Sheepshead Bay",150.517857142857
